state,district,time,metric_type,value,source
Tamil Nadu,Tiruvannamalai,2026-01,aadhaar_demographic_update,786,UIDAI
Tamil Nadu,Tiruvarur,2025-11,aadhaar_demographic_update,4,UIDAI
Tamil Nadu,Tiruvarur,2025-12,aadhaar_demographic_update,4,UIDAI
Tamil Nadu,Vellore,2025-03,aadhaar_demographic_update,23274,UIDAI
Tamil Nadu,Vellore,2025-04,aadhaar_demographic_update,1253,UIDAI
Tamil Nadu,Vellore,2025-05,aadhaar_demographic_update,747,UIDAI
Tamil Nadu,Vellore,2025-09,aadhaar_demographic_update,18327,UIDAI
Tamil Nadu,Vellore,2025-10,aadhaar_demographic_update,10913,UIDAI
Tamil Nadu,Vellore,2025-11,aadhaar_demographic_update,24928,UIDAI
Tamil Nadu,Vellore,2025-12,aadhaar_demographic_update,21763,UIDAI
Tamil Nadu,Vellore,2026-01,aadhaar_demographic_update,1286,UIDAI
Tamil Nadu,Villupuram,2025-03,aadhaar_demographic_update,7048,UIDAI
Tamil Nadu,Villupuram,2025-09,aadhaar_demographic_update,8656,UIDAI
Tamil Nadu,Villupuram,2025-10,aadhaar_demographic_update,5499,UIDAI
Tamil Nadu,Villupuram,2025-11,aadhaar_demographic_update,13395,UIDAI
Tamil Nadu,Villupuram,2025-12,aadhaar_demographic_update,10213,UIDAI
Tamil Nadu,Villupuram,2026-01,aadhaar_demographic_update,594,UIDAI
Tamil Nadu,Viluppuram,2025-03,aadhaar_demographic_update,751,UIDAI
Tamil Nadu,Viluppuram,2025-05,aadhaar_demographic_update,522,UIDAI
Tamil Nadu,Viluppuram,2025-09,aadhaar_demographic_update,8848,UIDAI
Tamil Nadu,Viluppuram,2025-10,aadhaar_demographic_update,6065,UIDAI
Tamil Nadu,Viluppuram,2025-11,aadhaar_demographic_update,12358,UIDAI
Tamil Nadu,Viluppuram,2025-12,aadhaar_demographic_update,10886,UIDAI
Tamil Nadu,Viluppuram,2026-01,aadhaar_demographic_update,461,UIDAI
Tamil Nadu,Virudhunagar,2025-03,aadhaar_demographic_update,14491,UIDAI
Tamil Nadu,Virudhunagar,2025-05,aadhaar_demographic_update,1183,UIDAI
Tamil Nadu,Virudhunagar,2025-06,aadhaar_demographic_update,1227,UIDAI
Tamil Nadu,Virudhunagar,2025-07,aadhaar_demographic_update,3109,UIDAI
Tamil Nadu,Virudhunagar,2025-09,aadhaar_demographic_update,9501,UIDAI
Tamil Nadu,Virudhunagar,2025-10,aadhaar_demographic_update,6189,UIDAI
Tamil Nadu,Virudhunagar,2025-11,aadhaar_demographic_update,15137,UIDAI
Tamil Nadu,Virudhunagar,2025-12,aadhaar_demographic_update,13200,UIDAI
Tamil Nadu,Virudhunagar,2026-01,aadhaar_demographic_update,791,UIDAI
